ID	TITLE	URL
20	"Smartphone Samsung Galaxy S9+ Dual Chip Android 8.0 Tela 6.2"" Octa-Core 2.8GHz 128GB 4G Câmera 12MP Dual Cam - Ultravioleta"	https://www.submarino.com.br/produto/133274988?pfm_carac=Smartphone&pfm_index=20&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid&sellerId
21	"Smartphone Samsung Galaxy M20 64GB Dual Chip Android 8.1 Tela 6.3"" Octa-Core 4G Câmera 13MP + 5MP - Azul"	https://www.submarino.com.br/produto/134252801?pfm_carac=Smartphone&pfm_index=21&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid&sellerId
22	"iPhone 6s 32GB Cinza Tela Retina HD 4,7"" 3D Touch Câmera 12MP - Apple"	https://www.submarino.com.br/produto/129251732?pfm_carac=Smartphone&pfm_index=22&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid&sellerId
23	"Smartphone Samsung Galaxy S10+ 128GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera Tripla Traseira 12MP + 12MP + 16MP - Azul"	https://www.submarino.com.br/produto/134218187?pfm_carac=Smartphone&pfm_index=23&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid&sellerId
24	"Smartphone Samsung Galaxy M10 32GB Dual Chip Android 8.1 Tela 6,2"" Octa-Core 4G Câmera 13+5MP - Azul"	https://www.submarino.com.br/produto/134253767?pfm_carac=Smartphone&pfm_index=0&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid&sellerId
25	"Smartphone Motorola Moto G7 Power 64GB Dual Chip Android Pie - 9.0 Tela 6.2"" 1.8 GHz Octa-Core 4G Câmera 12MP - Azul Navy"	https://www.submarino.com.br/produto/134256044?pfm_carac=Smartphone&pfm_index=1&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid&sellerId
26	iPhone Xr 128GB Amarelo IOS12 4G + Wi-fi Câmera 12MP - Apple	https://www.submarino.com.br/produto/134074136?pfm_carac=Smartphone&pfm_index=2&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid&sellerId
27	"Smartphone Samsung Galaxy A70 128GB Dual Chip Android 9.0 Tela 6.7"" Octa-Core 4G Câmera Tripla 32MP + 5MP + 8MP (UW) - Preto"	https://www.submarino.com.br/produto/134315964?pfm_carac=Smartphone&pfm_index=3&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid&sellerId
28	"Smartphone Samsung Galaxy A30 64GB Dual Chip Android 9.0 Tela 6.4"" Octa-Core 4G Câmera 16MP + 5MP - Branco"	https://www.submarino.com.br/produto/134249514?pfm_carac=Smartphone&pfm_index=4&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid&sellerId
29	"Smartphone Samsung Galaxy S9 Dual Chip Android 8.0 Tela 5.8"" Octa-Core 2.8GHz 128GB 4G Câmera 12MP - Azul"	https://www.submarino.com.br/produto/133730963?pfm_carac=Smartphone&pfm_index=5&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid&sellerId
